DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
ABW,BOG,168,367,1546172
ABW,BOG,60,123,526944
ABW,BOG,55,125,535375
ABW,BOG,168,367,1577244
ABW,BOG,389,348102,1508545745
ABW,BOG,474,3793,16032757
BIH,BOG,5,40,168559
BIH,BOG,31755,8892,37534489
BIH,BOG,9000,1080,4559101
AGO,BOG,3,12300,52262615
AGO,BOG,30,355,1507843
AGO,BOG,10,300,1273213
AGO,BOG,24,1455,6183230
AGO,BOG,3,566,2403659
SAU,BOG,920,767,3241563
SAU,BOG,8772,5875,24801764
SAU,BOG,11948,9419,40272654
SAU,BOG,10,138,601597
SAU,BOG,962,366,1593622
SAU,BOG,30,121,512750
SAU,BOG,20,118,500058
SAU,BOG,28,128,541941
SAU,BOG,16,67,284297
SAU,BOG,14,50,213223
SAU,BOG,45,139,586997
SAU,BOG,25,149,628246
SAU,BOG,15,79,332103
SAU,BOG,20,90,380755
SAU,BOG,17,9267,37566194
SAU,BOG,6,1711,6935983
SAU,BOG,3,891,3611900
SAU,BOG,16,20146,84895019
SAU,BOG,6,51445,216785833
SAU,BOG,12900,4093,16950873
SAU,BOG,800,152,629497
SAU,BOG,210,2,8697
SAU,BOG,540,173,715639
SAU,BOG,610,685,2834809
SAU,BOG,700,219,906973
SAU,BOG,469,2582,10693172
SAU,BOG,5040,46176,194586301
SAU,BOG,8400,76961,324950816
SAU,BOG,4219,14840,65099789
SAU,BOG,720,10320,42739558
SAU,BOG,130,1096,4688905
SAU,BOG,260,1508,6466504
SAU,BOG,134,617,2647692
SAU,BOG,73,483,2084242
SAU,BOG,154,1153,4963867
SAU,BOG,13,113,478615
SAU,BOG,20,180,756275
SAU,BOG,2,120,508026
SAU,BOG,8,1,2882
SAU,BOG,0,7,30774
SAU,BOG,0,1863,7897656
SAU,BOG,4,1777,7551947
SAU,BOG,1,424,1798629
DZA,BOG,17,750,3166043
DZA,BOG,2943,19756,83741534
ARG,BOG,50,1909,8045775
ARG,BOG,61,38950,165498550
ARG,BOG,2,3250,13809250
ARG,BOG,31460,3146,13313778
ARG,BOG,95950,26447,115290872
ARG,BOG,51702,10376,43708900
ARG,BOG,64,1010,4196489
ARG,BOG,13273,2363,9784294
ARG,BOG,3200,5845,24284793
ARG,BOG,2751,84190,356249793
ARG,BOG,1514,14171,59953243
ARG,BOG,300,2937,12449926
ARG,BOG,1200,7668,31138444
ARG,BOG,2,3733,15159728
ARG,BOG,2507,23472,99298763
ARG,BOG,78,1880,8246921
ARG,BOG,7,685,2823778
ARG,BOG,20,146,617177
ARG,BOG,0,33,138271
ARG,BOG,0,74,313039
ARG,BOG,5,43,182482
ARG,BOG,0,850,3603023
ARG,BOG,3,36,152599
ARG,BOG,8,734,3111952
ARG,BOG,1,45,188883
ARG,BOG,0,1297,5497788
ARG,BOG,0,28,120638
ARG,BOG,1,143,606156
ARG,BOG,10,32,136067
ARG,BOG,4,35,147682
ARG,BOG,10,11,45780
ARG,BOG,3,74,310915
ARG,BOG,1300,78,331663
ARG,BOG,2,172,732465
ARG,BOG,72,62,261759
ARG,BOG,12,2971,12438099
ARG,BOG,17075,2237,9293894
ARG,BOG,760,471,1957808
ARG,BOG,18625,5551,23549887
ARG,BOG,4200,462,1934399
ARG,BOG,355,305,1274945
ARG,BOG,3240,670,2848530
ARG,BOG,2,882,3867630
ARG,BOG,179,17467,75018283
ARG,BOG,2,65,283554
ARG,BOG,1,100,404687
ARG,BOG,896800,44815,187408242
ARG,BOG,1,2285,10023518
ARG,BOG,60000,5152,21746913
ARG,BOG,0,214,868883
ARG,BOG,69,3284,13313440
ARG,BOG,1,215,869815
ARG,BOG,155,11082,44922795
ARG,BOG,24,1405,5695330
ARG,BOG,12,137,555973
ARG,BOG,2024,1463557,6197042738
AUS,BOG,216960,38244,161422463
AUS,BOG,19600,5467,23042656
AUS,BOG,22000,2200,9288598
AUS,BOG,8100,4860,20560765
AUS,BOG,335,223,942708
AUS,BOG,1500,315,1329958
AUS,BOG,5400,1134,4787850
